envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	12000	108000	-12000	-12000	-12000	-12000	
5	9000	105000	-15000	-15000	-15000	-15000	
6	30000	102000	-18000	102000	-18000	-18000	
7	51000	99000	-21000	99000	-21000	99000	
8	48000	96000	-24000	96000	-24000	96000	
9	93000	93000	93000	93000	-27000	213000	
10	90000	90000	90000	90000	-30000	210000	
11	87000	87000	87000	87000	-33000	207000	
12	108000	204000	84000	84000	-36000	204000	
13	129000	201000	81000	81000	81000	201000	
14	126000	198000	78000	78000	78000	198000	
15	171000	195000	75000	75000	195000	315000	
16	192000	192000	192000	72000	192000	312000	
17	189000	189000	189000	69000	189000	309000	
18	210000	186000	186000	186000	186000	306000	
19	231000	183000	183000	183000	303000	303000	
20	252000	180000	180000	3e+05	3e+05	3e+05	
21	249000	177000	177000	297000	297000	297000	
22	246000	174000	174000	294000	294000	294000	
23	267000	171000	171000	291000	291000	411000	
24	288000	168000	288000	288000	288000	408000	
25	309000	165000	285000	285000	405000	405000	
26	354000	282000	402000	282000	402000	402000	
27	375000	279000	399000	279000	519000	399000	
28	396000	396000	396000	276000	516000	396000	
29	393000	393000	393000	273000	513000	393000	
30	390000	390000	390000	270000	510000	390000	
31	435000	387000	387000	387000	507000	507000	
32	456000	384000	504000	384000	504000	504000	
33	453000	381000	501000	381000	501000	501000	
34	450000	378000	498000	378000	498000	498000	
35	447000	375000	495000	375000	495000	495000	
36	468000	492000	492000	372000	492000	492000	
37	465000	489000	489000	369000	489000	489000	
38	462000	486000	486000	366000	486000	486000	
39	483000	603000	483000	363000	483000	483000	
40	528000	6e+05	480000	360000	6e+05	6e+05	
41	549000	597000	477000	357000	717000	597000	
42	570000	594000	474000	474000	714000	594000	
43	591000	591000	471000	471000	711000	711000	
44	612000	588000	468000	468000	708000	828000	
45	681000	585000	585000	585000	705000	945000	
46	678000	582000	582000	582000	702000	942000	
47	675000	579000	579000	579000	699000	939000	
48	696000	576000	696000	576000	696000	936000	
49	717000	693000	693000	573000	693000	933000	
50	714000	690000	690000	570000	690000	930000	
51	711000	687000	687000	567000	687000	927000	
52	708000	684000	684000	564000	684000	924000	
53	729000	681000	681000	561000	681000	1041000	
54	774000	798000	678000	678000	678000	1038000	
55	771000	795000	675000	675000	675000	1035000	
56	792000	792000	792000	672000	672000	1032000	
57	789000	789000	789000	669000	669000	1029000	
58	786000	786000	786000	666000	666000	1026000	
59	783000	783000	783000	663000	663000	1023000	
60	780000	780000	780000	660000	660000	1020000	
61	777000	777000	777000	657000	657000	1017000	
62	822000	774000	774000	774000	774000	1014000	
63	819000	771000	771000	771000	771000	1011000	
64	816000	768000	768000	768000	768000	1008000	
65	813000	765000	765000	765000	765000	1005000	
66	810000	762000	762000	762000	762000	1002000	
67	807000	759000	759000	759000	759000	999000	
68	804000	756000	756000	756000	756000	996000	
69	801000	753000	753000	753000	753000	993000	
70	822000	750000	750000	750000	870000	990000	
71	867000	867000	747000	747000	987000	987000	
72	888000	864000	864000	744000	984000	984000	
73	909000	861000	861000	861000	981000	981000	
74	906000	858000	858000	858000	978000	978000	
75	927000	855000	975000	855000	975000	975000	
76	924000	852000	972000	852000	972000	972000	
77	945000	849000	969000	969000	969000	969000	
78	942000	846000	966000	966000	966000	966000	
