envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	15000	-9000	-9000	-9000	111000	-9000	
4	12000	-12000	-12000	-12000	108000	-12000	
5	9000	-15000	-15000	-15000	105000	-15000	
6	30000	-18000	-18000	102000	102000	-18000	
7	27000	-21000	-21000	99000	99000	-21000	
8	48000	-24000	96000	96000	96000	-24000	
9	45000	-27000	93000	93000	93000	-27000	
10	42000	-30000	90000	90000	90000	-30000	
11	39000	-33000	87000	87000	87000	-33000	
12	60000	84000	84000	84000	84000	-36000	
13	57000	81000	81000	81000	81000	-39000	
14	54000	78000	78000	78000	78000	-42000	
15	75000	75000	75000	75000	75000	75000	
16	72000	72000	72000	72000	72000	72000	
17	69000	69000	69000	69000	69000	69000	
18	66000	66000	66000	66000	66000	66000	
19	63000	63000	63000	63000	63000	63000	
20	60000	60000	60000	60000	60000	60000	
21	57000	57000	57000	57000	57000	57000	
22	54000	54000	54000	54000	54000	54000	
23	51000	51000	51000	51000	51000	51000	
24	48000	48000	48000	48000	48000	48000	
25	45000	45000	45000	45000	45000	45000	
26	66000	42000	42000	42000	162000	42000	
27	135000	39000	159000	159000	159000	159000	
28	156000	36000	156000	156000	156000	276000	
29	153000	33000	153000	153000	153000	273000	
30	198000	150000	270000	150000	150000	270000	
31	219000	147000	267000	147000	267000	267000	
32	216000	144000	264000	144000	264000	264000	
33	213000	141000	261000	141000	261000	261000	
34	210000	138000	258000	138000	258000	258000	
35	207000	135000	255000	135000	255000	255000	
36	204000	132000	252000	132000	252000	252000	
37	201000	129000	249000	129000	249000	249000	
38	198000	126000	246000	126000	246000	246000	
39	195000	123000	243000	123000	243000	243000	
40	216000	120000	240000	120000	360000	240000	
41	237000	237000	237000	117000	357000	237000	
42	234000	234000	234000	114000	354000	234000	
43	231000	231000	231000	111000	351000	231000	
44	228000	228000	228000	108000	348000	228000	
45	225000	225000	225000	105000	345000	225000	
46	222000	222000	222000	102000	342000	222000	
47	219000	219000	219000	99000	339000	219000	
48	216000	216000	216000	96000	336000	216000	
49	213000	213000	213000	93000	333000	213000	
50	282000	330000	330000	210000	330000	210000	
51	279000	327000	327000	207000	327000	207000	
52	276000	324000	324000	204000	324000	204000	
53	273000	321000	321000	201000	321000	201000	
54	270000	318000	318000	198000	318000	198000	
55	267000	315000	315000	195000	315000	195000	
56	264000	312000	312000	192000	312000	192000	
57	285000	309000	429000	189000	309000	189000	
58	282000	306000	426000	186000	306000	186000	
59	279000	303000	423000	183000	303000	183000	
60	276000	3e+05	420000	180000	3e+05	180000	
61	273000	297000	417000	177000	297000	177000	
62	270000	294000	414000	174000	294000	174000	
63	291000	291000	411000	291000	291000	171000	
64	288000	288000	408000	288000	288000	168000	
65	309000	285000	405000	285000	285000	285000	
66	306000	282000	402000	282000	282000	282000	
67	303000	279000	399000	279000	279000	279000	
68	3e+05	276000	396000	276000	276000	276000	
69	297000	273000	393000	273000	273000	273000	
70	294000	270000	390000	270000	270000	270000	
71	291000	267000	387000	267000	267000	267000	
72	288000	264000	384000	264000	264000	264000	
73	285000	261000	381000	261000	261000	261000	
74	306000	378000	378000	258000	258000	258000	
75	303000	375000	375000	255000	255000	255000	
76	324000	372000	372000	372000	252000	252000	
77	321000	369000	369000	369000	249000	249000	
78	318000	366000	366000	366000	246000	246000	
79	315000	363000	363000	363000	243000	243000	
