envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	39000	-9000	111000	-9000	111000	-9000	
4	36000	-12000	108000	-12000	108000	-12000	
5	33000	-15000	105000	-15000	105000	-15000	
6	30000	-18000	102000	-18000	102000	-18000	
7	27000	-21000	99000	-21000	99000	-21000	
8	24000	-24000	96000	-24000	96000	-24000	
9	93000	-27000	213000	93000	93000	93000	
10	114000	-30000	210000	90000	210000	90000	
11	159000	-33000	207000	87000	327000	207000	
12	156000	-36000	204000	84000	324000	204000	
13	177000	81000	201000	81000	321000	201000	
14	174000	78000	198000	78000	318000	198000	
15	171000	75000	195000	75000	315000	195000	
16	168000	72000	192000	72000	312000	192000	
17	165000	69000	189000	69000	309000	189000	
18	186000	66000	186000	66000	426000	186000	
19	183000	63000	183000	63000	423000	183000	
20	180000	60000	180000	60000	420000	180000	
21	177000	57000	177000	57000	417000	177000	
22	174000	54000	174000	54000	414000	174000	
23	171000	51000	171000	51000	411000	171000	
24	168000	48000	168000	48000	408000	168000	
25	189000	45000	285000	45000	405000	165000	
26	186000	42000	282000	42000	402000	162000	
27	183000	39000	279000	39000	399000	159000	
28	204000	36000	276000	36000	396000	276000	
29	225000	33000	273000	33000	393000	393000	
30	246000	30000	390000	30000	390000	390000	
31	267000	27000	387000	147000	387000	387000	
32	264000	24000	384000	144000	384000	384000	
33	261000	21000	381000	141000	381000	381000	
34	282000	18000	498000	138000	378000	378000	
35	279000	15000	495000	135000	375000	375000	
36	276000	12000	492000	132000	372000	372000	
37	273000	9000	489000	129000	369000	369000	
38	270000	6000	486000	126000	366000	366000	
39	291000	3000	483000	243000	363000	363000	
40	288000	0	480000	240000	360000	360000	
41	333000	117000	477000	357000	357000	357000	
42	330000	114000	474000	354000	354000	354000	
43	351000	231000	471000	351000	351000	351000	
44	348000	228000	468000	348000	348000	348000	
45	369000	345000	465000	345000	345000	345000	
46	366000	342000	462000	342000	342000	342000	
47	411000	339000	459000	339000	459000	459000	
48	432000	336000	456000	456000	456000	456000	
49	429000	333000	453000	453000	453000	453000	
50	426000	330000	450000	450000	450000	450000	
51	423000	327000	447000	447000	447000	447000	
52	420000	324000	444000	444000	444000	444000	
53	417000	321000	441000	441000	441000	441000	
54	414000	318000	438000	438000	438000	438000	
55	411000	315000	435000	435000	435000	435000	
56	408000	312000	432000	432000	432000	432000	
57	453000	309000	429000	429000	549000	549000	
58	450000	306000	426000	426000	546000	546000	
59	471000	423000	423000	423000	543000	543000	
60	492000	420000	420000	540000	540000	540000	
61	513000	417000	417000	657000	537000	537000	
62	510000	414000	414000	654000	534000	534000	
63	531000	411000	411000	651000	651000	531000	
64	528000	408000	408000	648000	648000	528000	
65	573000	525000	405000	765000	645000	525000	
66	570000	522000	402000	762000	642000	522000	
67	567000	519000	399000	759000	639000	519000	
68	564000	516000	396000	756000	636000	516000	
69	561000	513000	393000	753000	633000	513000	
70	582000	630000	390000	750000	630000	510000	
71	579000	627000	387000	747000	627000	507000	
72	6e+05	624000	504000	744000	624000	504000	
73	621000	621000	501000	741000	621000	621000	
74	618000	618000	498000	738000	618000	618000	
75	639000	615000	495000	735000	615000	735000	
76	636000	612000	492000	732000	612000	732000	
77	633000	609000	489000	729000	609000	729000	
78	654000	606000	486000	726000	726000	726000	
79	675000	723000	483000	723000	723000	723000	
80	672000	720000	480000	720000	720000	720000	
