envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	33000	-15000	105000	105000	-15000	-15000	
6	30000	-18000	102000	102000	-18000	-18000	
7	99000	99000	99000	99000	99000	99000	
8	96000	96000	96000	96000	96000	96000	
9	93000	93000	93000	93000	93000	93000	
10	90000	90000	90000	90000	90000	90000	
11	111000	207000	87000	87000	87000	87000	
12	108000	204000	84000	84000	84000	84000	
13	105000	201000	81000	81000	81000	81000	
14	102000	198000	78000	78000	78000	78000	
15	99000	195000	75000	75000	75000	75000	
16	96000	192000	72000	72000	72000	72000	
17	93000	189000	69000	69000	69000	69000	
18	114000	306000	66000	66000	66000	66000	
19	135000	303000	183000	63000	63000	63000	
20	132000	3e+05	180000	60000	60000	60000	
21	129000	297000	177000	57000	57000	57000	
22	150000	294000	174000	54000	54000	174000	
23	147000	291000	171000	51000	51000	171000	
24	144000	288000	168000	48000	48000	168000	
25	141000	285000	165000	45000	45000	165000	
26	138000	282000	162000	42000	42000	162000	
27	135000	279000	159000	39000	39000	159000	
28	156000	276000	156000	156000	36000	156000	
29	153000	273000	153000	153000	33000	153000	
30	150000	270000	150000	150000	30000	150000	
31	147000	267000	147000	147000	27000	147000	
32	144000	264000	144000	144000	24000	144000	
33	141000	261000	141000	141000	21000	141000	
34	138000	258000	138000	138000	18000	138000	
35	135000	255000	135000	135000	15000	135000	
36	132000	252000	132000	132000	12000	132000	
37	153000	249000	249000	129000	9000	129000	
38	198000	366000	366000	126000	6000	126000	
39	219000	483000	363000	123000	3000	123000	
40	216000	480000	360000	120000	0	120000	
41	237000	477000	357000	117000	-3000	237000	
42	234000	474000	354000	114000	-6000	234000	
43	231000	471000	351000	111000	-9000	231000	
44	276000	468000	468000	108000	-12000	348000	
45	345000	465000	585000	225000	-15000	465000	
46	342000	462000	582000	222000	-18000	462000	
47	363000	579000	579000	219000	-21000	459000	
48	408000	696000	576000	216000	-24000	576000	
49	453000	693000	573000	333000	93000	573000	
50	474000	690000	570000	330000	210000	570000	
51	471000	687000	567000	327000	207000	567000	
52	492000	684000	564000	324000	324000	564000	
53	489000	681000	561000	321000	321000	561000	
54	486000	678000	558000	318000	318000	558000	
55	483000	675000	555000	315000	315000	555000	
56	480000	672000	552000	312000	312000	552000	
57	501000	669000	549000	309000	429000	549000	
58	498000	666000	546000	306000	426000	546000	
59	519000	663000	543000	303000	423000	663000	
60	564000	780000	540000	420000	420000	660000	
61	561000	777000	537000	417000	417000	657000	
62	606000	774000	534000	534000	534000	654000	
63	627000	771000	531000	531000	651000	651000	
64	624000	768000	528000	528000	648000	648000	
65	621000	765000	525000	525000	645000	645000	
66	642000	762000	522000	522000	762000	642000	
67	663000	759000	519000	519000	879000	639000	
68	684000	756000	516000	516000	876000	756000	
69	705000	753000	633000	513000	873000	753000	
70	702000	750000	630000	510000	870000	750000	
71	699000	747000	627000	507000	867000	747000	
72	720000	744000	744000	504000	864000	744000	
73	717000	741000	741000	501000	861000	741000	
74	714000	738000	738000	498000	858000	738000	
75	735000	735000	735000	615000	855000	735000	
76	732000	732000	732000	612000	852000	732000	
77	729000	729000	729000	609000	849000	729000	
78	726000	726000	726000	606000	846000	726000	
79	747000	723000	723000	723000	843000	723000	
