envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	6000	102000	-18000	-18000	-18000	-18000	
7	3000	99000	-21000	-21000	-21000	-21000	
8	0	96000	-24000	-24000	-24000	-24000	
9	-3000	93000	-27000	-27000	-27000	-27000	
10	-6000	90000	-30000	-30000	-30000	-30000	
11	-9000	87000	-33000	-33000	-33000	-33000	
12	-12000	84000	-36000	-36000	-36000	-36000	
13	9000	81000	81000	-39000	-39000	-39000	
14	6000	78000	78000	-42000	-42000	-42000	
15	51000	75000	75000	-45000	75000	75000	
16	48000	72000	72000	-48000	72000	72000	
17	45000	69000	69000	-51000	69000	69000	
18	42000	66000	66000	-54000	66000	66000	
19	39000	63000	63000	-57000	63000	63000	
20	36000	60000	60000	-60000	60000	60000	
21	33000	57000	57000	-63000	57000	57000	
22	78000	54000	54000	54000	174000	54000	
23	75000	51000	51000	51000	171000	51000	
24	72000	48000	48000	48000	168000	48000	
25	93000	45000	45000	165000	165000	45000	
26	90000	42000	42000	162000	162000	42000	
27	111000	39000	159000	159000	159000	39000	
28	108000	36000	156000	156000	156000	36000	
29	105000	33000	153000	153000	153000	33000	
30	102000	30000	150000	150000	150000	30000	
31	99000	27000	147000	147000	147000	27000	
32	96000	24000	144000	144000	144000	24000	
33	117000	21000	141000	141000	141000	141000	
34	162000	138000	138000	138000	258000	138000	
35	183000	135000	135000	135000	375000	135000	
36	204000	132000	132000	132000	372000	252000	
37	225000	129000	129000	129000	369000	369000	
38	222000	126000	126000	126000	366000	366000	
39	267000	243000	123000	243000	363000	363000	
40	264000	240000	120000	240000	360000	360000	
41	261000	237000	117000	237000	357000	357000	
42	258000	234000	114000	234000	354000	354000	
43	255000	231000	111000	231000	351000	351000	
44	252000	228000	108000	228000	348000	348000	
45	273000	345000	105000	225000	345000	345000	
46	294000	342000	102000	222000	462000	342000	
47	291000	339000	99000	219000	459000	339000	
48	312000	336000	216000	216000	456000	336000	
49	333000	453000	213000	213000	453000	333000	
50	330000	450000	210000	210000	450000	330000	
51	327000	447000	207000	207000	447000	327000	
52	348000	444000	324000	204000	444000	324000	
53	369000	441000	441000	201000	441000	321000	
54	366000	438000	438000	198000	438000	318000	
55	411000	435000	555000	195000	555000	315000	
56	432000	432000	552000	192000	672000	312000	
57	429000	429000	549000	189000	669000	309000	
58	426000	426000	546000	186000	666000	306000	
59	423000	423000	543000	183000	663000	303000	
60	444000	420000	540000	180000	780000	3e+05	
61	441000	417000	537000	177000	777000	297000	
62	438000	414000	534000	174000	774000	294000	
63	435000	411000	531000	171000	771000	291000	
64	432000	408000	528000	168000	768000	288000	
65	429000	405000	525000	165000	765000	285000	
66	426000	402000	522000	162000	762000	282000	
67	423000	399000	519000	159000	759000	279000	
68	420000	396000	516000	156000	756000	276000	
69	441000	393000	513000	273000	753000	273000	
70	462000	510000	510000	270000	750000	270000	
71	459000	507000	507000	267000	747000	267000	
72	528000	624000	624000	384000	744000	264000	
73	549000	621000	621000	381000	741000	381000	
74	546000	618000	618000	378000	738000	378000	
75	543000	615000	615000	375000	735000	375000	
76	540000	612000	612000	372000	732000	372000	
77	561000	729000	609000	369000	729000	369000	
78	582000	846000	606000	366000	726000	366000	
