envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	78000	102000	-18000	102000	102000	102000	
7	99000	99000	99000	99000	99000	99000	
8	96000	96000	96000	96000	96000	96000	
9	93000	93000	93000	93000	93000	93000	
10	114000	90000	90000	210000	90000	90000	
11	135000	87000	207000	207000	87000	87000	
12	228000	204000	204000	324000	204000	204000	
13	249000	201000	321000	321000	201000	201000	
14	270000	198000	318000	318000	318000	198000	
15	291000	195000	315000	315000	315000	315000	
16	288000	192000	312000	312000	312000	312000	
17	309000	189000	429000	309000	309000	309000	
18	306000	186000	426000	306000	306000	306000	
19	327000	303000	423000	303000	303000	303000	
20	324000	3e+05	420000	3e+05	3e+05	3e+05	
21	345000	417000	417000	297000	297000	297000	
22	366000	414000	414000	414000	294000	294000	
23	387000	531000	411000	411000	291000	291000	
24	408000	528000	408000	408000	288000	408000	
25	405000	525000	405000	405000	285000	405000	
26	426000	642000	402000	402000	282000	402000	
27	447000	639000	399000	519000	279000	399000	
28	444000	636000	396000	516000	276000	396000	
29	465000	633000	393000	633000	273000	393000	
30	486000	630000	390000	630000	390000	390000	
31	531000	627000	507000	627000	507000	387000	
32	528000	624000	504000	624000	504000	384000	
33	525000	621000	501000	621000	501000	381000	
34	570000	618000	618000	618000	618000	378000	
35	567000	615000	615000	615000	615000	375000	
36	564000	612000	612000	612000	612000	372000	
37	585000	609000	609000	609000	609000	489000	
38	606000	606000	606000	726000	606000	486000	
39	603000	603000	603000	723000	603000	483000	
40	6e+05	6e+05	6e+05	720000	6e+05	480000	
41	621000	717000	597000	717000	597000	477000	
42	618000	714000	594000	714000	594000	474000	
43	639000	711000	591000	831000	591000	471000	
44	660000	708000	588000	828000	588000	588000	
45	705000	705000	585000	945000	585000	705000	
46	750000	702000	702000	942000	582000	822000	
47	747000	699000	699000	939000	579000	819000	
48	744000	696000	696000	936000	576000	816000	
49	765000	693000	693000	933000	693000	813000	
50	762000	690000	690000	930000	690000	810000	
51	759000	687000	687000	927000	687000	807000	
52	756000	684000	684000	924000	684000	804000	
53	753000	681000	681000	921000	681000	801000	
54	750000	678000	678000	918000	678000	798000	
55	747000	675000	675000	915000	675000	795000	
56	744000	672000	672000	912000	672000	792000	
57	741000	669000	669000	909000	669000	789000	
58	738000	666000	666000	906000	666000	786000	
59	735000	663000	663000	903000	663000	783000	
60	732000	660000	660000	9e+05	660000	780000	
61	777000	777000	777000	897000	657000	777000	
62	774000	774000	774000	894000	654000	774000	
63	771000	771000	771000	891000	651000	771000	
64	768000	768000	768000	888000	648000	768000	
65	765000	765000	765000	885000	645000	765000	
66	810000	762000	762000	1002000	642000	882000	
67	831000	759000	759000	999000	639000	999000	
68	828000	756000	756000	996000	636000	996000	
69	825000	753000	753000	993000	633000	993000	
70	822000	750000	750000	990000	630000	990000	
71	819000	747000	747000	987000	627000	987000	
72	840000	744000	864000	984000	624000	984000	
73	837000	741000	861000	981000	621000	981000	
74	858000	738000	858000	978000	738000	978000	
75	855000	735000	855000	975000	735000	975000	
76	876000	852000	852000	972000	732000	972000	
77	897000	849000	849000	969000	849000	969000	
78	918000	846000	846000	966000	966000	966000	
79	915000	843000	843000	963000	963000	963000	
