fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 164719	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	119	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.305310479455704	0.670253423907029	770	1000	12310	52132128.9355322	1
20240512 165637	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	736	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0850025278609015	0.698402132284279	1190	1614	11868	58198698.6506747	2
20240512 170354	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	124	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.218730048005143	0.528168809741994	982	930	11795	55346214.3928036	3
20240512 170806	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.318879745898038	0.734623200772709	263	659	12737	53435296.8515742	4
20240512 171243	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.274482333867304	0.820101198369183	1976	733	13628	53984245.8770615	5
20240512 171740	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.432737650683861	0.796802345153384	1383	1086	13911	50813506.7466267	6
20240512 172423	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	177	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.359498060756444	0.567220395909818	244	338	13798	46937574.2128936	7
20240512 173511	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	259	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0502276814264438	0.894196955631014	1772	297	12942	58555409.2953523	8
20240512 174150	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.461372042466918	0.580620437020913	1666	1482	11132	49664389.8050975	9
20240512 180008	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1955	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0270440229242742	0.707427228991842	1105	1761	13914	59101058.4707646	10
20240512 180631	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.392855123574145	0.865845325204038	573	1376	13816	48556737.6311844	11
20240512 181110	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.12155461295135	0.753579149457967	400	195	12901	53934421.2893553	12
20240512 182030	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	457	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.133938388531343	0.504877839275773	859	1874	10643	55148541.2293853	13
20240512 182212	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.485571407248814	0.628453829533746	19	1276	13074	55072872.5637181	14
20240512 182638	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.166173879643999	0.831524312102016	1877	1894	12810	56239745.1274363	15
20240512 183201	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.23747584115655	0.621408334299441	1512	466	13883	52008931.0344828	16
20240512 184749	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1306	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0397146091681491	0.844850597030677	1711	1335	13026	57635883.0584708	17
20240512 185738	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	822	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0461810438165234	0.758571457158154	1310	1696	14155	58349872.5637181	18
20240512 191021	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	886	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0291962464550539	0.656653636207773	1146	911	12894	59069184.4077961	19
